B	0.73	2.26
D	2.60	2.13
C	2.82	0.67
C	2.48	0.78
B	0.64	2.63
B	0.43	2.90
A	0.34	0.62
C	2.60	0.52
B	0.93	2.71
A	0.75	0.72
A	0.99	0.75
B	0.28	2.74
B	0.30	2.22
B	0.85	2.64
D	2.16	2.09
C	2.40	0.93
B	0.04	2.06
B	0.85	2.28
C	2.65	0.23
B	0.15	2.29
A	0.13	0.58
A	0.20	0.47
D	2.70	2.31
B	0.32	2.42
A	0.94	0.34
C	2.16	0.82
A	0.81	0.28
A	0.78	0.95
B	0.73	2.22
B	0.41	2.63
A	0.52	0.82
C	2.12	0.08
A	0.41	0.78
C	2.27	0.29
C	2.22	0.02
B	0.51	2.60
B	0.89	2.20
A	0.54	0.09
A	0.32	0.52
A	0.59	0.85
B	0.95	2.96
C	2.72	0.22
C	2.82	0.09
A	0.92	0.31
C	2.91	0.18
A	0.49	0.68
C	2.42	0.97
C	2.07	0.99
B	0.29	2.08
D	2.74	2.04
C	2.45	0.24
C	2.41	0.91
B	0.87	2.24
B	0.31	2.20
C	2.36	0.27
A	0.31	0.70
C	2.04	0.12
B	0.28	2.28
A	0.22	0.68
B	0.09	2.95
C	2.15	0.35
A	0.10	0.86
D	2.87	2.94
A	0.78	0.25
A	0.02	0.44
D	2.76	2.16
B	0.60	2.65
A	0.23	0.30
B	0.19	2.22
C	2.63	0.72
B	0.12	2.77
A	0.20	0.99
C	2.96	0.12
C	2.31	0.52
A	0.26	0.47
A	0.28	0.20
B	0.45	2.32
A	0.79	0.66
C	2.99	0.33
B	0.54	2.78
A	0.22	0.15
C	2.54	0.44
C	2.65	0.96
C	2.07	0.88
B	0.35	2.16
B	0.53	2.52
C	2.11	0.18
A	0.60	0.04
B	0.92	2.43
B	0.17	2.41
C	2.18	0.06
B	0.91	2.03
A	0.60	0.75
C	2.83	0.22
B	0.30	2.09
B	0.92	2.71
B	0.03	2.82
A	0.01	0.99
B	0.66	2.74
B	0.41	2.20
C	2.00	0.02
A	0.57	0.19
A	0.74	0.04
C	2.89	0.55
A	0.16	0.39
C	2.82	0.04
C	2.77	0.66
B	0.43	2.54
B	0.06	2.31
B	0.78	2.36
C	3.00	0.86
C	2.82	0.53
B	0.89	2.89
A	0.04	0.51
B	0.65	2.65
D	2.17	2.48
C	2.63	0.87
C	2.74	0.01
B	0.35	2.23
A	0.42	0.19
B	0.67	2.51
C	2.83	0.27
C	2.71	0.81
D	2.25	2.87
B	0.31	2.69
B	0.63	2.17
A	0.50	0.72
B	0.26	2.80
B	0.77	2.14
B	0.34	2.37
C	2.74	0.69
C	2.43	0.00
A	0.58	0.48
D	2.89	2.16
A	0.10	0.41
C	2.66	0.37
A	0.00	0.98
D	2.69	2.93
B	0.30	2.19
C	2.78	0.07
C	2.60	0.79
C	2.91	0.20
C	2.04	0.75
A	0.67	0.97
C	2.16	0.25
C	2.47	0.58
A	0.59	0.16
C	2.95	0.36
C	2.03	0.97
C	2.37	0.12
C	2.29	1.00
B	0.17	2.43
B	0.36	2.82
C	2.93	0.15
A	0.58	0.95
B	0.41	2.85
C	2.11	0.10
D	2.53	2.70
B	0.94	3.00
C	2.98	0.55
B	0.41	2.57
C	2.61	0.46
B	0.45	2.76
B	0.54	2.86
A	0.93	0.49
C	2.35	0.42
C	3.00	0.56
C	2.87	0.11
D	2.22	2.23
D	2.05	2.25
C	2.19	0.50
B	0.10	2.72
B	0.06	2.04
A	0.74	0.67
B	0.79	2.84
D	2.96	2.34
B	0.65	2.53
C	2.69	0.22
A	0.86	0.32
B	0.72	2.79
B	0.62	2.06
B	0.46	2.57
C	2.34	0.51
C	2.80	0.45
B	0.96	2.43
B	0.34	2.18
C	2.70	0.63
C	2.77	0.37
D	2.31	2.01
B	0.14	2.66
A	0.48	0.98
A	0.57	0.69
C	2.89	0.59
A	0.18	0.28
C	2.27	0.21
C	2.95	0.02
C	2.57	0.78
A	0.25	0.84
D	2.65	2.53
B	0.91	2.29
C	2.42	0.92
C	2.96	0.72
C	2.52	0.77
A	0.19	0.29
A	0.43	0.61
B	0.82	2.11
B	0.64	2.62
C	2.18	0.72
C	2.30	0.02
C	2.86	0.84
D	2.96	2.73
B	0.17	2.97
B	0.08	2.59
D	2.34	2.22
A	0.10	0.47
A	0.02	0.72
A	0.46	0.10
B	0.34	2.23
C	2.44	0.98
A	0.23	0.40
D	2.07	2.02
C	2.77	0.45
B	0.48	2.25
C	2.23	0.43
C	2.24	0.96
B	0.37	2.69
C	2.30	0.15
C	2.30	0.31
C	2.38	0.71
A	0.24	0.95
B	0.90	2.37
B	0.66	2.60
B	0.72	3.00
C	2.06	0.88
B	0.50	2.42
D	2.59	2.58
C	2.75	1.00
B	0.52	2.88
B	0.13	2.65
A	0.81	0.80
D	2.60	2.86
C	2.20	0.42
A	0.55	0.79
B	0.66	2.02
B	0.90	2.87
A	0.07	0.21
B	0.51	2.63
C	2.69	0.39
B	0.39	2.35
A	0.27	0.26
B	0.62	2.23
C	2.05	0.15
C	2.87	0.44
B	0.87	2.97
B	0.81	2.65
A	0.05	0.26
C	2.08	0.99
D	2.61	2.87
C	2.75	0.96
A	0.16	0.87
C	2.98	0.69
A	0.11	0.55
A	0.78	0.18
B	0.96	2.05
C	2.51	0.99
A	0.51	0.13
A	0.68	0.12
C	2.14	0.52
A	0.94	0.12
B	0.17	2.38
C	2.43	0.55
A	0.39	0.10
B	0.92	2.71
A	0.85	0.08
C	2.85	1.00
A	0.78	0.05
A	0.86	0.81
B	0.80	2.90
C	2.27	0.42
B	0.56	2.32
A	0.04	0.40
C	2.32	0.38
A	0.27	0.05
A	0.52	0.86
C	2.25	0.68
C	2.66	0.99
B	0.16	2.32
D	2.56	2.86
B	0.65	2.97
C	2.40	0.53
B	0.01	2.99
A	0.44	0.93
B	0.72	2.37
C	2.46	0.32
D	2.04	2.38
B	0.95	2.25
B	0.97	2.26
A	0.20	0.67
A	0.06	0.69
D	2.85	2.82
A	0.04	0.21
B	0.20	2.30
C	2.23	0.70
C	2.30	0.51
A	0.22	0.55
B	0.79	2.44
A	0.47	0.48
B	0.00	2.35
B	0.34	2.71
A	0.51	0.97
C	2.98	0.40
B	0.00	2.05
B	0.10	2.58
B	0.06	2.83
A	0.16	0.52
A	0.82	0.77
D	2.24	2.74
C	2.52	0.08
B	0.44	2.66
B	0.51	2.48
D	2.39	2.61
C	2.55	0.36
A	0.69	0.14
A	0.87	0.32
A	0.99	0.55
B	0.08	2.86
A	0.94	0.78
C	2.18	0.38
B	0.48	2.91
A	0.96	0.38
A	0.99	0.41
A	0.32	0.22
B	0.40	2.29
B	0.26	2.46
D	2.64	2.44
B	0.94	2.64
B	0.61	2.27
A	0.13	0.53
B	0.99	2.72
A	0.12	0.41
B	0.75	2.16
D	2.79	2.74
B	0.48	2.49
A	0.91	0.55
C	2.55	0.13
C	2.60	0.98
C	2.53	0.75
D	2.42	2.34
A	0.22	0.07
C	2.36	0.27
A	0.30	0.43
A	0.26	0.10
B	0.08	2.29
C	2.41	0.92
C	2.89	0.80
B	0.89	2.15
C	2.34	0.99
B	0.79	2.10
D	2.19	2.68
A	0.16	0.52
C	2.92	0.56
A	0.17	0.95
A	0.38	0.75
C	2.47	0.50
A	0.44	0.90
C	2.81	0.05
B	0.56	2.72
B	0.82	2.72
B	0.15	2.90
C	2.88	0.42
B	0.05	2.20
D	3.00	2.10
A	0.88	0.75
B	0.40	2.02
C	2.60	0.52
B	0.12	2.31
A	0.29	0.25
A	0.33	0.37
B	0.74	2.61
A	0.87	0.23
A	0.09	0.44
A	0.37	0.08
B	0.68	2.14
B	0.13	2.14
C	2.04	0.55
A	0.83	0.19
A	0.33	0.07
B	0.89	2.59
A	0.72	0.56
B	0.82	2.49
B	0.60	2.74
B	0.36	2.90
C	2.33	0.33
C	2.93	0.61
B	0.55	2.94
A	0.26	0.35
D	2.74	2.97
A	0.91	0.56
C	2.32	0.49
A	0.33	0.25
B	0.56	2.52
B	0.68	2.87
B	0.31	2.98
A	0.07	0.00
B	0.89	2.55
B	0.57	2.04
B	0.09	2.42
B	0.03	2.48
B	0.84	2.28
C	2.46	0.11
B	0.74	2.70
B	0.80	2.02
A	0.14	0.93
A	0.02	0.85
B	0.98	2.30
B	0.19	2.14
C	2.44	0.50
C	2.51	0.44
A	0.42	0.02
D	2.22	2.62
A	0.37	0.48
B	0.01	2.50
B	0.11	2.90
A	0.57	0.29
A	0.45	0.59
B	0.24	2.55
A	0.79	0.65
A	0.94	0.86
B	0.10	2.94
B	0.03	2.86
B	0.15	2.73
B	0.87	2.81
B	0.51	2.26
D	2.84	2.38
B	0.85	2.14
C	2.64	0.55
A	0.25	0.52
B	0.97	2.00
B	0.16	2.77
C	2.57	0.48
B	0.43	2.41
D	2.08	2.66
D	2.73	2.72
B	0.79	2.16
A	0.85	0.17
D	2.53	2.07
A	0.89	0.12
B	0.47	2.19
B	0.96	2.74
A	0.83	0.89
A	0.99	0.43
A	0.51	0.35
D	2.30	2.35
C	2.17	0.56
B	0.77	2.65
B	0.61	2.97
C	2.84	0.62
C	2.28	0.81
C	2.24	0.46
D	2.97	2.43
A	0.55	0.75
C	2.29	0.05
C	2.16	0.94
B	0.36	2.34
C	2.76	0.17
A	0.36	0.28
A	0.52	0.50
A	0.12	0.67
A	0.53	0.86
B	0.99	2.26
A	0.14	0.39
B	0.39	2.27
A	0.50	0.26
A	0.17	0.21
B	0.41	2.92
B	0.51	2.93
B	0.64	2.30
B	0.87	2.74
B	0.67	2.45
A	0.30	0.52
C	2.56	0.09
A	0.92	0.13
A	0.04	0.26
A	0.73	0.96
A	0.35	0.19
A	0.91	0.42
C	2.67	0.89
C	2.13	0.18
D	2.40	2.13
B	0.29	2.49
C	2.40	0.69
B	0.41	2.56
D	2.79	2.37
A	0.15	0.41
B	0.27	2.04
A	0.92	0.87
C	2.84	0.41
B	0.89	2.04
B	0.72	2.22
C	2.29	0.23
B	0.54	2.88
C	2.60	0.66
A	0.96	0.25
A	0.34	0.13
D	2.02	2.98
B	0.88	2.33
C	2.26	0.25
A	0.98	0.66
B	0.81	2.91
C	2.46	0.58
B	0.76	2.67
A	0.52	0.58
A	0.02	0.22
B	0.10	2.31
B	0.92	2.99
C	2.86	0.03
B	0.37	2.37
C	2.39	0.16
C	2.46	0.59
A	0.72	0.87
D	2.57	2.67
A	0.37	0.69
C	2.44	0.33
B	0.90	2.09
C	2.79	0.48
D	2.67	2.10
C	2.46	0.04
C	2.40	0.24
D	2.82	2.41
A	0.28	0.32
B	0.34	2.04
B	0.18	2.29
A	0.32	0.11
A	0.28	0.92
D	2.91	2.54
B	0.39	2.59
B	0.66	2.26
B	0.74	2.45
C	2.29	0.26
C	2.05	0.61
C	2.16	0.46
A	0.74	0.56
C	2.13	0.20
B	0.80	2.09
C	2.47	0.07
C	2.50	0.12
D	2.24	2.06
C	2.45	0.70
C	2.64	0.88
C	2.43	0.88
C	2.81	0.77
C	2.57	0.03
B	0.23	2.62
C	2.89	0.58
C	2.05	0.35
A	0.81	0.22
C	2.72	0.18
A	0.80	0.11
B	0.31	2.54
A	0.29	0.48
B	0.21	2.14
C	2.73	0.87
C	2.58	0.62
B	0.12	2.64
B	0.35	2.02
C	2.21	0.37
C	2.28	0.07
A	0.73	0.01
B	0.57	2.56
B	0.10	2.25
A	0.51	0.96
B	0.22	2.53
C	2.78	0.02
B	0.40	2.72
D	2.07	2.18
A	0.62	0.92
B	0.60	2.12
C	2.68	0.31
A	0.54	0.92
A	0.73	0.69
B	0.79	2.66
B	0.81	2.45
C	2.54	0.86
A	0.77	0.93
B	0.08	2.15
A	0.37	0.67
B	0.56	2.06
B	0.87	2.63
A	0.14	0.71
B	0.17	2.02
A	0.81	0.50
A	0.63	0.23
D	2.50	2.20
A	0.25	0.36
C	2.33	0.89
D	2.05	2.08
A	0.09	0.76
D	2.48	2.34
C	2.00	0.37
C	2.72	0.88
C	2.07	0.26
B	0.79	2.78
C	2.44	0.27
A	0.31	0.57
B	0.68	2.94
B	0.49	2.39
B	0.63	2.15
B	0.24	2.70
B	0.33	2.46
C	2.44	0.26
C	2.10	0.94
A	0.10	0.37
B	0.64	2.17
B	0.67	2.93
C	2.81	0.43
B	0.52	2.62
B	0.69	2.15
C	2.43	0.36
A	0.08	0.82
B	0.99	2.59
A	0.60	0.96
A	0.71	0.35
B	0.72	2.25
C	2.39	0.48
B	0.46	2.66
C	2.03	0.84
C	2.08	0.04
C	2.87	0.54
A	0.79	0.09
A	0.97	0.25
B	0.26	2.93
C	2.94	0.31
C	2.15	0.46
C	2.61	0.41
B	0.11	2.70
B	0.48	2.52
A	0.28	0.17
D	2.21	2.52
A	0.33	0.57
B	0.91	2.73
B	0.88	2.55
B	0.15	2.51
B	0.23	2.51
B	0.85	2.08
B	0.42	2.23
A	0.81	0.18
A	0.84	0.18
C	2.83	0.84
B	0.40	2.33
C	2.28	0.60
B	0.22	2.09
B	0.75	2.41
C	2.87	0.38
A	0.95	0.38
A	0.64	0.70
B	0.48	2.85
A	0.52	0.43
B	0.57	2.07
C	2.58	0.18
C	2.81	0.90
C	2.41	0.53
A	0.67	0.23
C	2.62	0.28
A	0.04	0.90
A	0.87	1.00
A	0.42	0.60
C	2.75	0.17
D	2.37	2.64
C	2.94	0.29
C	2.69	0.46
B	0.04	2.45
A	0.63	0.10
A	0.46	0.04
C	2.26	0.39
B	0.25	2.90
B	0.14	2.53
B	0.64	2.60
C	2.69	0.53
B	0.16	2.01
B	0.24	2.37
C	2.67	0.03
A	0.54	0.27
B	0.86	2.75
C	2.75	0.65
A	0.39	0.32
A	0.24	0.25
B	0.58	2.51
A	0.50	0.09
B	0.95	2.70
B	0.81	2.78
A	0.60	0.82
B	0.50	2.37
B	0.12	2.57
C	2.64	0.55
A	0.11	0.90
A	0.28	0.11
A	0.81	0.31
A	0.80	0.66
B	0.77	2.98
C	2.43	0.57
D	2.84	2.96
A	0.50	0.22
D	2.32	2.40
B	0.98	2.91
C	2.17	0.63
A	0.88	0.72
B	0.28	2.31
B	0.65	2.99
C	2.22	0.21
B	0.17	2.56
C	2.32	0.94
C	2.87	0.40
A	0.49	0.32
C	2.38	0.20
B	0.78	2.62
A	0.76	0.99
D	2.11	2.14
B	0.33	2.51
B	0.76	2.97
C	2.52	0.73
C	2.20	0.29
C	2.53	0.04
C	2.04	0.60
C	2.01	0.40
B	0.93	2.11
C	2.66	0.64
A	0.84	0.96
A	0.81	0.47
B	0.25	2.58
A	0.15	0.94
B	0.72	2.75
C	2.90	0.46
C	2.19	0.39
C	2.78	0.71
C	2.92	0.30
C	2.35	0.33
B	0.23	2.40
C	2.94	0.21
A	0.61	0.40
C	2.23	0.48
B	0.21	2.75
A	0.58	0.95
C	2.84	0.12
A	0.11	0.66
A	0.60	0.02
C	2.89	0.59
A	0.14	0.87
C	2.28	0.63
B	0.01	2.17
A	0.65	0.31
A	0.60	0.83
A	0.41	0.85
C	2.50	0.02
D	2.20	2.91
C	2.38	0.43
C	2.93	0.53
C	2.44	0.81
C	2.10	0.40
C	2.78	0.70
A	0.83	0.90
B	0.61	2.47
B	0.82	2.71
C	2.45	0.39
B	0.95	2.03
B	0.97	2.67
B	0.97	2.65
A	0.74	0.21
C	2.01	0.20
D	2.91	2.45
C	2.85	0.43
C	2.17	0.18
D	2.15	2.25
B	0.50	2.47
C	2.54	0.73
C	2.23	0.27
B	0.67	2.03
C	2.96	0.12
A	0.27	0.83
D	2.30	2.06
A	0.22	0.90
C	2.77	0.95
A	0.10	0.86
B	0.22	2.11
C	2.62	0.80
A	0.18	0.72
D	2.68	2.84
D	2.91	2.16
B	0.10	2.29
B	0.10	2.89
C	2.20	0.88
C	2.48	0.33
A	0.31	0.10
C	2.70	0.33
A	0.48	0.20
C	2.84	0.30
B	0.18	2.51
C	2.63	0.68
A	0.18	0.87
B	0.32	2.87
B	0.12	2.34
B	0.41	2.42
B	0.97	2.14
A	0.58	0.26
B	0.59	2.27
A	0.01	0.56
A	0.80	0.83
A	0.05	0.05
B	0.47	2.20
B	0.10	2.09
C	2.79	0.50
B	0.64	2.15
B	0.43	2.90
B	0.00	2.87
C	2.93	0.02
B	0.10	2.80
B	0.57	2.75
A	0.74	0.25
A	0.16	0.19
B	0.85	2.44
B	0.22	2.57
C	2.82	0.75
C	2.56	0.54
B	0.19	2.20
B	0.93	2.62
A	0.37	0.64
B	0.48	2.07
B	0.87	2.31
B	0.66	2.12
A	0.57	0.30
B	0.52	2.87
C	2.01	0.87
B	0.10	2.62
B	0.25	2.94
A	0.00	0.19
C	2.58	0.47
B	0.40	2.67
A	0.59	0.41
C	2.35	0.02
D	2.76	2.49
B	0.42	2.28
C	2.64	0.96
C	2.80	0.53
C	2.66	0.07
A	0.72	0.41
C	2.83	0.35
B	0.54	2.68
B	0.26	2.08
C	2.16	0.34
D	2.10	2.35
C	2.22	0.51
C	2.44	0.59
C	2.46	1.00
C	2.60	0.63
B	0.86	2.64
C	2.04	0.97
A	0.76	0.50
C	2.10	0.52
C	2.47	0.08
B	0.60	2.50
A	0.82	0.00
A	0.89	0.92
A	0.45	0.84
C	2.05	0.24
D	2.60	2.16
A	0.15	0.78
A	0.38	0.70
C	2.86	0.30
A	0.90	0.06
A	0.96	0.09
C	2.59	0.67
C	2.28	0.76
C	2.87	0.64
B	0.21	2.51
C	2.09	0.88
B	0.91	2.23
D	2.65	2.88
B	0.69	2.64
C	2.65	0.73
A	0.09	0.84
D	2.02	2.45
B	0.65	2.59
C	2.69	0.47
C	2.88	0.38
B	0.82	2.38
C	2.76	0.49
B	0.62	2.23
B	0.94	2.74
C	2.10	0.59
C	2.52	0.72
B	0.30	3.00
C	2.59	0.46
B	0.70	2.15
D	2.11	2.28
A	0.25	0.85
B	0.51	2.09
B	0.30	2.58
C	2.45	0.59
C	2.59	0.69
C	2.62	0.50
